Código,Descrição,Cadastro,Pis Compra,Cofins Compra,Pis Venda,Cofins Venda,Carga Trib Nacional,Carga Trib Estadual,ICMS: Tributação,ICMS: Al. ICMS Int,ICMS: Cálculo ICMS,ICMS: Descreição Cálculo ICMS,ICMS: Pauta Fiscal,CSOSN: Origem Merc,CSOSN: Trib/Isento,CSOSN: Subst. Trib,CST ICMS Não Trib/Isento: Pessoa Física,CST ICMS Não Trib/Isento: Pessoa Jurídica,IPI: CST IPI Entr,IPI: CST IPI Saída,IPI: Tipo Item,IPI: Gên. Item,IPI: Combustível,IPI: Código ANP,IPI: Cód. WFiscal,IPI: Clas. IPI(NCM),IPI: Cód. Selo,IPI: Classe Enq,IPI: Cód. Reduz,PIS/COFINS: CST PIS Entr,PIS/COFINS: CST PIS Saída,PIS/COFINS: CST Cofins Entr,PIS/COFINS: CST Cofins Saída
000001,AGENDA EXECUTIVA ANUAL SAO DOMINGOS,10/06/2016,"0,00 %","0,00 %","0,00 %","0,00 %","12,11 %","18,00 %",Sub.Trib.,,000004,Cálculo Substituição Tributária,,0,102,500,041,,03,53,00,48,,,000002834,48201000,,,,99,99,99,99
000002,AGENDA EXECUTIVA PERMANENTE SAO DOMINGOS,10/06/2016,"0,00 %","0,00 %","0,00 %","0,00 %","21,24 %","18,00 %",Sub.Trib.,1,000004,Cálculo Substituição Tributária,,0,102,500,500,500,03,53,00,48,,,,48201000,,,,,99,,99
000003,AGENDA TELEFONICA FORONI,10/06/2016,"0,00 %","0,00 %","0,00 %","0,00 %","21,24 %","18,00 %",Sub.Trib.,1,000004,Cálculo Substituição Tributária,,0,102,500,500,500,03,53,00,48,,,000002836,48201000,,,,,99,,99
000004,AGENDA TELEFONICA TILIBRA,10/06/2016,"0,00 %","0,00 %","0,00 %","0,00 %","21,24 %","18,00 %",Sub.Trib.,1,000004,Cálculo Substituição Tributária,,0,102,500,500,500,03,53,00,48,,,000004494,48201000,,,,,99,,99
000005,CRACHA C/ PRESILHA ACP,02/09/2016,"0,00 %","0,00 %","0,00 %","0,00 %","17,24 %","18,00 %",Sub.Trib.,,000004,Cálculo Substituição Tributária,,0,102,500,,,03,53,00,39,,,000004327,39269069,,,,99,99,99,99
000006,ALFINETE DE CABEÇA No29 C/50 GRS YARA,10/06/2016,"0,00 %","0,00 %","0,00 %","0,00 %","17,24 %","18,00 %",Tributado,1,000003,Cálculo Tributados,,0,102,500,102,102,03,53,00,73,,,000003364,73194000,,,,,99,,99
000007,ENVELOPE BRANCO 229X324 MM FORONI,02/09/2016,"0,00 %","0,00 %","0,00 %","0,00 %","12,96 %","18,00 %",Sub.Trib.,,000004,Cálculo Substituição Tributária,,0,102,500,,,03,53,00,48,,,000002586,48171000,,,,99,99,99,99
000008,ALFINETE P/ MAPA C/50 UN YARA,10/06/2016,"0,00 %","0,00 %","0,00 %","0,00 %","17,24 %","18,00 %",Tributado,1,000003,Cálculo Tributados,,0,102,500,102,102,03,53,00,73,,,,73194000,,,,,99,,99
000009,ENVELOPE KRAFT 120X175 MM FORONI,07/10/2016,"0,00 %","0,00 %","0,00 %","0,00 %","12,96 %","18,00 %",Sub.Trib.,,000004,Cálculo Substituição Tributária,,0,102,500,,,03,53,00,48,,,000002590,48171000,,,,99,99,99,99
000010,ALMOFADA P/ CARIMBO N° 3 AZUL CARBRINK,10/06/2016,"0,00 %","0,00 %","0,00 %","0,00 %","8,90 %","18,00 %",Tributado,1,000003,Cálculo Tributados,,0,102,500,102,102,03,53,00,96,,,000005679,96122000,,,,,99,,99
000011,ALMOFADA P/ CARIMBO N° 3 AZUL JAPAN,10/06/2016,"0,00 %","0,00 %","0,00 %","0,00 %","8,90 %","18,00 %",Tributado,1,000003,Cálculo Tributados,,0,102,500,102,102,03,53,00,96,,,000005181,96122000,,,,,99,,99
000012,ALMOFADA P/ CARIMBO N° 3 PRETA CARBRINK,10/06/2016,"0,00 %","0,00 %","0,00 %","0,00 %","8,90 %","18,00 %",Tributado,1,000003,Cálculo Tributados,,0,102,500,102,102,03,53,00,96,,,000005680,96122000,,,,,99,,99
000013,ALMOFADA P/ CARIMBO N° 3 PRETA JAPAN,10/06/2016,"0,00 %","0,00 %","0,00 %","0,00 %","8,90 %","18,00 %",Tributado,1,000003,Cálculo Tributados,,0,102,500,102,102,03,53,00,96,,,000004360,96122000,,,,,99,,99
000014,ALMOFADA P/ CARIMBO N° 3 VERMELHA CARBRINK,10/06/2016,"0,00 %","0,00 %","0,00 %","0,00 %","8,90 %","18,00 %",Tributado,1,000003,Cálculo Tributados,,0,102,500,102,102,03,53,00,96,,,000005681,96122000,,,,,99,,99
000015,ALMOFADA P/ CARIMBO N° 3 VERMELHA JAPAN,10/06/2016,"0,00 %","0,00 %","0,00 %","0,00 %","8,90 %","18,00 %",Tributado,1,000003,Cálculo Tributados,,0,102,500,102,102,03,53,00,96,,,000004589,96122000,,,,,99,,99
000016,ALMOFADA P/ CARIMBO N° 3 S/ TINTA JAPAN,10/06/2016,"0,00 %","0,00 %","0,00 %","0,00 %","8,90 %","18,00 %",Tributado,1,000003,Cálculo Tributados,,0,102,500,102,102,03,53,00,96,,,000005182,96122000,,,,,99,,99
000017,ALMOFADA P/ CARIMBO N° 3 T. METALICA AZUL JAPAN,10/06/2016,"0,00 %","0,00 %","0,00 %","0,00 %","8,90 %","18,00 %",Tributado,1,000003,Cálculo Tributados,,0,102,500,102,102,03,53,00,96,,,,96122000,,,,,99,,99
000018,ALMOFADA P/ CARIMBO N° 3 T. METALICA PRETA JAPAN,10/06/2016,"0,00 %","0,00 %","0,00 %","0,00 %","20,87 %","18,00 %",Tributado,1,000003,Cálculo Tributados,,0,102,500,102,102,03,53,00,96,,,,96122000,,,,,99,,99
000019,ALMOFADA P/ CARIMBO N° 3 T. METALICA VERMELHA JAPA,10/06/2016,"0,00 %","0,00 %","0,00 %","0,00 %","8,90 %","18,00 %",Tributado,1,000003,Cálculo Tributados,,0,102,500,102,102,03,53,00,96,,,,96122000,,,,,99,,99
000020,ALMOFADA P/ CARIMBO N° 4 AZUL JAPAN,10/06/2016,"0,00 %","0,00 %","0,00 %","0,00 %","20,87 %","18,00 %",Tributado,1,000003,Cálculo Tributados,,0,102,500,102,102,03,53,00,96,,,000004061,96122000,,,,,99,,99
000021,ALMOFADA P/ CARIMBO N° 4 PRETA JAPAN,10/06/2016,"0,00 %","0,00 %","0,00 %","0,00 %","20,87 %","18,00 %",Tributado,1,000003,Cálculo Tributados,,0,102,500,102,102,03,53,00,96,,,000004062,96122000,,,,,99,,99
000022,ALMOFADA P/ CARIMBO N° 4 VERMELHA JAPAN,10/06/2016,"0,00 %","0,00 %","0,00 %","0,00 %","20,87 %","18,00 %",Tributado,1,000003,Cálculo Tributados,,0,102,500,102,102,03,53,00,96,,,,96122000,,,,,99,,99
000023,ALMOFADA P/ CARIMBO N° 4 S/ TINTA JAPAN,10/06/2016,"0,00 %","0,00 %","0,00 %","0,00 %","20,87 %","18,00 %",Tributado,1,000003,Cálculo Tributados,,0,102,500,102,102,03,53,00,96,,,,96122000,,,,,99,,99
000024,APAGADOR P/ QUADRO BRANCO C/D CARBRINK,10/06/2016,"0,00 %","0,00 %","0,00 %","0,00 %","4,20 %","18,00 %",Tributado,1,000003,Cálculo Tributados,,0,102,500,500,500,03,53,00,96,,,000004456,96039000,,,,,99,,99
000025,APAGADOR P/ QUADRO BRANCO S/D CARBRINK,10/06/2016,"0,00 %","0,00 %","0,00 %","0,00 %","4,20 %","18,00 %",Tributado,1,000003,Cálculo Tributados,,0,102,500,500,500,03,53,00,96,,,000004259,96039000,,,,,99,,99
000026,APAGADOR P/ QUADRO BRANCO FABER CASTELL,10/06/2016,"0,00 %","0,00 %","0,00 %","0,00 %","4,20 %","18,00 %",Tributado,1,000003,Cálculo Tributados,,0,102,500,500,500,03,53,00,96,,,000002628,96039000,,,,,99,,99
000027,APAGADOR P/ QUADRO BRANCO PILOT,10/06/2016,"0,00 %","0,00 %","0,00 %","0,00 %","4,20 %","18,00 %",Tributado,1,000003,Cálculo Tributados,,0,102,500,500,500,03,53,00,96,,,,96039000,,,,,99,,99
000028,APAGADOR P/ QUADRO NEGRO C/ DEPOSITO STALO,10/06/2016,"0,00 %","0,00 %","0,00 %","0,00 %","4,20 %","18,00 %",Tributado,1,000003,Cálculo Tributados,,0,102,500,500,500,03,53,00,96,,,000003315,96039000,,,,,99,,99
000029,APAGADOR P/ QUADRO NEGRO S/ DEPOSITO STALO,10/06/2016,"0,00 %","0,00 %","0,00 %","0,00 %","4,20 %","18,00 %",Tributado,1,000003,Cálculo Tributados,,0,102,500,500,500,03,53,00,96,,,000003875,96039000,,,,,99,,99
000030,TELEFONE FIXO C/ FIO INTELBRAS,10/06/2016,"0,00 %","0,00 %","0,00 %","0,00 %","6,92 %","0,00 %",Sub.Trib.,1,000004,Cálculo Substituição Tributária,,0,102,500,500,500,03,53,00,85,,,000004467,85171891,,,,,99,,99
000031,TELEFONE FIXO S/FIO ELGIN,10/06/2016,"0,00 %","0,00 %","0,00 %","0,00 %","13,29 %","18,00 %",Sub.Trib.,1,000004,Cálculo Substituição Tributária,,0,102,500,500,500,03,53,00,85,,,000002741,85171100,,,,,99,,99
000032,APOIO DE PE ERGONOMICO PRETO ACRINIL,10/06/2016,"0,00 %","0,00 %","0,00 %","0,00 %","5,54 %","18,00 %",Sub.Trib.,1,000004,Cálculo Substituição Tributária,,0,102,500,500,500,03,53,00,94,,,000005286,94037000,,,,,99,,99
000033,CADERNO QUADRICULADO 40 FLS FORONI,07/10/2016,"0,00 %","0,00 %","0,00 %","0,00 %","8,20 %","18,00 %",Sub.Trib.,,000004,Cálculo Substituição Tributária,,0,102,500,,,03,53,00,48,,,000002592,48202000,,,,99,99,99,99
